TCO (€/km);LCE (gGHG/km)
0.4154;99.7565
0.4501;86.4439
0.5160;101.1731
0.4521;108.5452
0.3981;105.6101
0.4294;90.7711
0.3960;98.6965
0.4786;105.5945
0.4204;107.1248
0.4346;101.5573
0.5091;109.7073
0.5070;97.5295
0.3940;88.2601
0.4566;103.6157
0.4784;107.8710
0.4000;104.8557
0.5028;106.3656
0.3590;97.4303
0.5395;103.8465
0.5120;98.8630
0.5072;93.8740
0.5256;98.7488
0.5207;110.3607
0.4911;104.5422
0.5010;96.6375
0.4214;111.4418
0.4164;94.9500
0.4161;101.4202
0.3799;84.7014
0.4701;89.0938
0.4737;101.4847
0.5233;110.7746
0.4003;105.4217
0.5601;105.1173
0.4348;104.7034
0.4440;102.2326
0.4774;109.4772
0.4338;104.1626
0.4525;114.5957
0.4656;103.7455
0.4648;92.6139
0.4250;102.1681
0.4547;101.0337
0.3728;95.5117
0.4493;95.1671
0.4589;109.3357
0.3726;82.1932
0.3750;100.7452
0.4617;94.1719
0.3630;102.3043
0.5359;90.7899
0.4625;104.6732
0.4669;95.0810
0.4663;101.5545
0.4635;115.9217
0.3999;89.0506
0.4564;113.8345
0.5647;99.0735
0.4211;108.7951
0.3605;90.8385
0.4052;100.1551
0.4572;112.7209
0.4024;109.7480
0.4297;97.2489
0.4746;91.7397
0.4391;97.6604
0.3696;97.2056
0.4931;114.7495
0.4536;90.6897
0.5009;106.0731
0.4242;85.6074
0.3868;104.1371
0.4459;105.4578
0.4510;109.5775
0.4652;113.8668
0.3591;102.5872
0.4330;92.1823
0.3958;100.8865
0.4506;102.0396
0.3969;89.8992
0.4286;93.8333
0.5644;107.6525
0.4209;111.4026
0.3585;89.5732
0.4298;97.1323
0.5510;100.9809
0.4670;104.3028
0.4376;93.3194
0.5291;96.0949
0.4362;90.5999
0.4647;88.4902
0.5301;100.8784
0.4642;90.0157
0.4734;96.2480
0.4644;97.1945
0.5475;118.8528
0.4101;87.0914
0.4941;117.9968
0.5098;105.1294
0.3979;92.3443
0.8907;223.0430
0.9634;182.1398
1.0783;261.0340
0.9586;294.9556
0.8686;241.2073
0.9840;238.1787
0.8478;239.7814
1.0773;243.8431
0.8868;247.6544
0.9735;276.2550
1.0714;265.7366
1.2090;263.0424
0.8353;200.1263
0.9606;240.0096
1.0926;302.0522
0.8915;241.4392
1.1840;286.4922
0.8659;266.8450
1.1612;281.1592
0.9797;224.7216
1.0673;217.1133
1.0893;237.6923
1.1007;297.5070
1.0437;266.6790
1.0562;202.9067
0.9195;323.3787
0.8629;211.2924
0.8897;253.5100
0.8443;196.0542
0.9575;207.2093
0.9463;212.0621
1.1128;288.0271
0.8706;237.5025
1.1556;270.3565
0.9007;280.5309
0.9767;234.9680
0.9906;272.5288
0.9275;232.9474
1.0496;314.5531
0.9605;234.0294
0.9476;219.0543
0.8817;240.2613
1.0333;265.8670
0.8235;228.4771
1.0182;217.0258
0.9063;281.5084
0.8106;171.3641
0.7924;227.7128
0.9948;195.6509
0.8253;266.4377
1.0959;238.7640
1.0423;284.2482
1.0141;245.0852
0.9562;231.2742
1.0843;306.6918
0.8998;251.2399
1.0062;308.7678
1.1659;264.6789
0.8863;300.4465
0.7628;196.4333
0.8801;269.9994
0.9645;321.5878
0.9109;301.6005
0.9022;260.4553
1.0214;196.7431
0.9950;271.4597
0.8957;267.0163
1.0813;309.5086
0.9922;192.4283
1.1072;270.6861
0.9222;215.5666
0.8743;281.9426
0.9161;251.1756
0.9960;294.9247
1.0314;315.0244
0.7656;242.5906
0.9834;256.9983
0.8338;220.5646
0.9348;264.7801
0.8712;239.0274
0.9293;250.6462
1.2662;291.5826
0.9239;301.7220
0.8673;239.4627
0.9321;238.0250
1.1295;211.4129
1.0521;286.9802
0.9927;257.1318
1.1742;223.5557
0.9588;197.4314
0.9628;183.9030
1.1369;270.9638
0.9739;239.8188
0.9281;218.8692
0.9891;210.5017
1.1678;336.8770
0.8285;212.2667
1.1256;331.2944
1.1349;236.1509
0.8846;239.4112
0.6383;82.6137
0.6908;108.0582
0.6155;88.1641
0.7066;102.5667
0.6401;99.5127
0.7782;95.5676
0.6410;94.5863
0.5605;106.4611
0.5644;95.2128
0.6755;101.8488
0.7796;91.5056
0.7059;106.7293
0.6668;102.9226
0.6136;98.2733
0.6544;81.2921
0.7768;104.6494
0.7475;99.2825
0.7003;97.9456
0.6525;97.1262
0.6089;107.3309
0.6072;97.7964
0.5634;93.5345
0.6192;100.5949
0.5329;88.7747
0.5299;91.3522
0.7307;102.8045
0.6750;101.9480
0.5869;92.2161
0.7604;99.8530
0.5576;94.2451
0.6746;115.1524
0.6537;95.4120
0.6488;90.5953
0.7053;111.1062
0.6869;96.7217
0.5965;99.3495
0.6936;102.9295
0.5331;103.5801
0.5331;95.8037
0.6862;88.9603
0.8616;106.8885
0.5885;89.5249
0.7059;96.0388
0.6869;91.5210
0.6042;89.5989
0.8157;95.1077
0.6382;90.8532
0.7909;114.6518
0.7885;116.5341
0.5950;87.0117
0.5394;81.9122
0.6651;92.7404
0.6589;108.3953
0.6182;100.0186
0.5751;87.8966
0.5736;95.7070
0.5977;93.3838
0.5617;79.9182
0.5784;97.7117
0.6727;101.0845
0.6253;98.7239
0.6944;104.8854
0.6006;91.9001
0.6940;83.3513
0.5942;101.8617
0.6081;96.3506
0.6472;98.5109
0.7202;96.4731
0.7070;86.5696
0.7926;111.6847
0.6482;95.6523
0.6026;88.8277
0.6079;93.0550
0.7533;107.5296
0.7515;93.2637
0.6346;98.2383
0.7179;85.0628
0.5382;100.8739
0.6889;104.9828
0.6518;98.2201
0.5407;95.7850
0.6294;107.7460
0.6782;87.8341
0.5995;81.5464
0.8028;89.7847
0.8540;113.3433
0.5676;96.8981
0.5765;88.7408
0.7196;86.8677
0.5780;87.6636
0.6428;95.3396
0.5615;92.2529
0.6575;86.2149
0.6885;95.9631
0.6611;90.8583
0.6697;89.7949
0.5092;87.7678
0.5868;88.7462
0.7028;90.4561
0.5969;95.0733
0.4072;492.2485
0.4390;385.8339
0.4962;649.7205
0.4678;746.7342
0.3992;530.5229
0.4502;576.1947
0.3914;542.9632
0.4798;539.7855
0.4013;555.2266
0.4570;706.5745
0.4895;606.1583
0.5405;656.1529
0.3649;441.6562
0.4400;518.5557
0.5115;785.9393
0.3898;533.2026
0.5366;722.6074
0.3937;666.3890
0.5436;724.8180
0.4604;512.0059
0.4847;485.9035
0.5104;543.8545
0.5526;747.5725
0.4706;632.1383
0.4769;410.1363
0.4518;857.3826
0.3890;461.0674
0.4129;613.6144
0.3779;445.6712
0.4508;465.6414
0.4207;431.2077
0.5273;697.4826
0.3857;512.9570
0.5466;637.6633
0.4309;717.2540
0.4505;532.2558
0.4524;632.3874
0.4187;508.1268
0.4713;817.9064
0.4357;510.3675
0.4362;499.4685
0.3979;554.3226
0.4723;647.5053
0.3824;529.0310
0.4393;474.6766
0.4313;701.7375
0.3622;340.4267
0.3639;507.3595
0.4436;394.7149
0.3777;652.8232
0.5261;587.4577
0.4829;733.9106
0.4689;603.6900
0.4411;498.1559
0.4854;778.5096
0.4318;642.4031
0.4697;797.3107
0.5479;665.1611
0.4344;775.0461
0.3455;410.2394
0.4142;696.9439
0.4683;840.8572
0.4265;753.5739
0.4427;645.8236
0.4652;419.4137
0.4653;695.5888
0.4097;687.6094
0.5039;769.5380
0.4369;396.9206
0.4992;650.9219
0.4375;526.6059
0.4116;706.8751
0.4198;567.7026
0.4725;763.4337
0.4770;782.4503
0.3489;557.0254
0.4678;677.0425
0.3712;485.6714
0.4463;659.1067
0.4265;584.6411
0.4377;632.8316
0.5938;739.9892
0.4296;737.8500
0.4030;590.6307
0.4507;559.6902
0.4911;425.2320
0.4965;706.3461
0.4695;643.4432
0.5048;493.7856
0.4203;417.0042
0.4351;378.6965
0.5531;671.6751
0.4653;617.1957
0.4249;487.1764
0.4429;448.8515
0.5490;847.5449
0.3911;489.8707
0.5258;846.9225
0.5008;518.1508
0.4118;579.9718
