;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
0;0.4273;97.1464;27665.8616;0.1737;79.1309;1965395.1797;16.821;40.0745;0.0;0.0;93.1247;0.0;438.086;560.7873;0.0;68.4516;896.8084;10.2929;10599.0448;2.4495;0.4125;104.8263;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
1;0.4376;103.3528;26944.0021;0.1431;82.0841;1945616.4622;16.6266;34.0809;0.0;0.0;93.6657;0.0;462.4198;562.1501;0.0;52.5194;887.0942;10.9887;8324.7513;2.7932;0.222;102.0807;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
2;0.4647;105.7568;28369.4061;0.2188;88.8284;1952741.7798;15.315;44.3063;0.0;0.0;93.389;0.0;541.6645;553.9036;0.0;63.9055;883.5332;11.9213;9676.197;1.5153;0.4759;110.6932;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
3;0.3625;104.1292;28767.6278;0.1319;88.2248;1984077.8379;15.4082;49.0333;0.0;0.0;93.5607;0.0;535.7128;560.1482;0.0;68.6856;886.5016;11.297;11042.762;2.7342;0.2913;108.1434;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
4;0.4458;94.0786;28521.919;0.1832;75.4374;2024863.096;16.0719;47.2596;0.0;0.0;94.5733;0.0;443.9032;577.1711;0.0;56.0433;893.3659;11.1789;9716.8073;2.0834;0.4053;107.003;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
5;0.3646;103.0111;28643.6886;0.1196;85.5742;2038547.8179;15.7844;47.1589;0.0;0.0;95.9359;0.0;520.1109;584.0967;0.0;60.5297;889.3127;10.1021;11572.8461;2.8428;0.2481;109.8136;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
6;0.4929;100.8992;28097.1819;0.1859;78.9996;2003997.4214;16.5708;44.9173;0.0;0.0;95.0454;0.0;453.1191;582.2576;0.0;64.2183;852.7008;10.8832;8408.206;1.5822;0.2774;103.1269;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
7;0.4295;107.7528;27480.8251;0.1782;89.7471;1969017.8584;16.0889;38.1947;0.0;0.0;93.7519;0.0;522.9671;572.764;0.0;69.6613;858.6236;10.891;10040.9272;2.0403;0.3897;105.1409;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
8;0.361;96.5106;28418.7101;0.1236;79.8611;1993105.8975;15.2404;45.4745;0.0;0.0;95.9598;0.0;502.8381;566.9343;0.0;68.9997;890.7713;10.927;10955.3889;2.5588;0.2407;108.9338;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
9;0.3949;90.969;28666.3592;0.1741;75.8599;1961442.2835;16.6216;48.3941;0.0;0.0;93.9573;0.0;428.8148;559.7362;0.0;56.26;858.8544;10.8614;11952.2291;1.5569;0.3504;107.4792;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
10;0.3893;102.0458;27389.279;0.1693;86.3189;1958312.9378;16.4336;33.5181;0.0;0.0;94.5754;0.0;496.7656;569.9895;0.0;54.0892;873.7702;11.4708;10855.3782;1.7999;0.3421;117.0794;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
