Class;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF_Pbatt;w_h2;w_synth
compact(bev);1615.0;33465;0.0;40.0;0.0;200.0;0.0;1.0;1.0;1.0
suv(bev);1943.0;73096;0.0;50.0;0.0;200.0;0.0;1.0;1.0;1.0
ldv(bev);2100.5;48446;0.0;60.0;0.0;200.0;0.0;1.0;1.0;1.0
compact(fcev);1925.0;79000;20.0;0.0;114.0;200.0;500.0;25.0;33.3;1.0
suv(fcev);1943.0;69000;30.0;0.0;50.0;200.0;500.0;25.0;33.3;1.0
ldv(fcev);2100.5;65000;40.0;0.0;60.0;200.0;500.0;25.0;33.3;1.0
compact(phev);1400.0;30366;0.0;10.0;0.0;200.0;0.0;1.0;1.0;11.6
suv(phev);1943.0;36395;0.0;20.0;0.0;200.0;0.0;1.0;1.0;11.6
ldv(phev);2100.5;35000;0.0;30.0;0.0;200.0;0.0;1.0;1.0;11.6
compact(icev);1300.0;24302;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6
suv(icev);1943.0;39037;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6
ldv(icev);2100.5;21564;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6
