TCO;LCE
0.3682;81.2948
0.3938;76.8782
0.3364;67.4192
0.3404;71.0166
0.3397;69.7771
0.3695;78.0525
0.3567;77.6010
0.3457;72.6470
0.3093;64.4554
0.3408;73.1413
0.3738;84.2389
0.3220;67.9451
0.3543;73.9674
0.3210;64.0899
0.3281;75.3072
0.3262;70.1385
0.3416;72.6705
0.3997;85.6370
0.3572;74.1680
0.3750;80.7022
0.3083;62.2131
0.3748;81.7961
0.3343;69.9654
0.3352;79.3289
0.3088;73.9575
0.3418;65.0537
0.3234;60.3758
0.3405;65.6163
0.3776;79.4779
0.3754;80.4341
0.3948;83.9667
0.3463;78.2362
0.3422;70.5768
0.3284;67.8351
0.3569;77.8362
0.3046;66.6647
0.3275;70.2730
0.3422;75.3984
0.3711;86.0823
0.3537;73.5049
0.3974;81.0619
0.3847;87.0033
0.3420;75.8517
0.3385;68.4391
0.3377;72.6229
0.3580;74.8286
0.3387;75.3210
0.3276;68.0074
0.3328;73.2166
0.3116;69.2327
0.3431;73.6779
0.3069;63.2730
0.3544;75.2582
0.3679;77.6217
0.3556;84.3231
0.3736;83.2336
0.3205;63.3134
0.3523;69.9942
0.3242;64.8878
0.3878;79.5028
0.3351;66.0943
0.3265;76.2110
0.3227;70.8747
0.3758;74.8281
0.3542;82.0582
0.3806;80.8002
0.3604;78.8235
0.3264;66.2695
0.3345;68.3921
0.3378;72.6619
0.3153;65.4652
0.3370;70.9571
0.3166;66.5032
0.3618;80.5027
0.3168;68.7412
0.3189;64.5079
0.3106;66.0696
0.3205;66.1719
0.3559;72.5676
0.3978;77.0039
0.3587;74.0137
0.3746;76.5752
0.3038;65.0957
0.3713;84.0270
0.3772;84.6841
0.3362;72.2290
0.3475;67.8200
0.3271;67.3956
0.3857;79.3866
0.3010;61.9292
0.3570;78.1291
0.3451;72.0300
0.3586;84.2256
0.3680;76.6246
0.3615;73.4839
0.3256;70.4172
0.3100;73.5618
0.3852;84.6981
0.3262;70.2996
0.3581;73.6265
0.3612;74.5792
0.3894;79.9970
0.3919;87.1158
0.4033;93.0119
0.3033;64.4966
0.3471;73.4363
0.3248;74.2778
0.3575;80.5752
0.3211;70.0308
0.4255;88.6913
0.3712;82.4424
0.3090;66.0490
0.3358;68.6945
0.3096;62.3651
0.3302;71.4796
0.3958;86.3372
0.3341;72.6748
0.3048;64.8776
0.3325;67.4823
0.3539;78.6026
0.3083;63.4161
0.3250;68.2904
0.3913;82.9016
0.3303;68.0928
0.3265;71.4396
0.3152;64.4235
