;Vehicle;TCO (€/km);LCE;TCO_Capex;TCO_Opex;Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
0;BEV;0.4253;187.1236;32818.9332;0.1737;108.9662;9832378.6563;19.8926;9.1894;13689.9273;1.3193;472.6132;610.7;728.468;0.2762;79.9008;0.0;0.0;0.0;0.0;0.0;40.7855;0.0;0.0;86.2791;0.0;133.0697;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;558.6555;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
1;BEV;0.4383;198.971;32971.3331;0.1829;115.3842;10383126.6738;20.6485;9.3411;13298.1724;1.3449;459.4031;610.7908;745.0559;0.2855;50.9332;0.0;0.0;0.0;0.0;0.0;42.9616;0.0;0.0;82.2122;0.0;129.2358;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;567.4552;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
2;BEV;0.3822;176.8682;34303.1498;0.1575;106.9369;10274944.9559;21.0159;9.8943;14849.8841;1.8395;450.7735;613.4905;787.811;0.2871;57.3443;0.0;0.0;0.0;0.0;0.0;39.852;0.0;0.0;88.5888;0.0;172.8747;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;569.2231;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
3;BEV;0.3899;188.8523;33418.0149;0.1473;102.9877;11387249.0922;17.3864;9.4621;14015.7778;1.6024;488.0644;589.8338;786.9977;0.2742;67.8244;0.0;0.0;0.0;0.0;0.0;46.3753;0.0;0.0;82.3951;0.0;128.272;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;559.2139;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
4;BEV;0.4403;197.3831;33810.0799;0.1618;106.5065;10657129.1565;18.109;9.5546;12273.7094;1.6712;493.1682;616.842;795.5441;0.2846;70.4641;0.0;0.0;0.0;0.0;0.0;41.4071;0.0;0.0;83.852;0.0;154.0128;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;570.3702;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
5;BEV;0.3328;187.7789;34861.3949;0.1373;123.0718;11006271.2267;20.6338;9.4503;17998.7687;1.8878;496.661;590.6291;774.2254;0.2628;77.7375;0.0;0.0;0.0;0.0;0.0;45.085;0.0;0.0;83.2685;0.0;164.3802;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;567.0322;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
6;BEV;0.4047;188.3268;34328.8971;0.1563;108.6259;10613563.6369;19.8132;9.7643;13638.1961;1.6797;454.5488;582.2096;798.017;0.2716;53.4006;0.0;0.0;0.0;0.0;0.0;41.7592;0.0;0.0;82.909;0.0;165.1904;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;556.3508;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
7;BEV;0.3591;177.1158;35362.1043;0.1419;103.031;11587372.4966;19.033;9.6997;16124.9145;1.7784;466.9205;609.5518;767.879;0.2806;57.566;0.0;0.0;0.0;0.0;0.0;48.2893;0.0;0.0;86.2546;0.0;163.2398;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;550.4591;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
8;BEV;0.3527;170.5354;32922.0544;0.1404;103.1594;10040907.9961;19.1494;9.3719;15901.5597;1.8292;466.6845;605.2411;756.3143;0.2708;76.5266;0.0;0.0;0.0;0.0;0.0;40.4826;0.0;0.0;86.6303;0.0;136.3551;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;564.111;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
9;BEV;0.4236;197.958;35758.7084;0.1553;107.0793;11679771.3204;20.0149;9.703;13245.4307;1.8014;465.8145;576.3582;785.4411;0.2686;71.0924;0.0;0.0;0.0;0.0;0.0;48.3232;0.0;0.0;87.0685;0.0;171.237;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;563.5141;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
