;FE;E_batt;E_battEmptyPHEV;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number;fe_phev_cd;fe_phev_cs;c_phev_el;c_phev_synth
0;15.1794;53.2824;0.0;0.0;0.0;94.2824;0.0;221.9502;528.5677;0.0;0.6564;757.0541;15.0345;11108.7103;7.9398;0.2863;161.3495;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;1;0.0;0.0;0.0;0.0
1;15.4857;66.9473;0.0;0.0;0.0;95.5589;0.0;273.5522;563.7795;0.0;0.5357;705.4777;15.2347;10086.4888;7.9115;0.4535;190.4533;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;2;0.0;0.0;0.0;0.0
2;15.9807;53.6145;0.0;0.0;0.0;94.2191;0.0;373.3844;557.8691;0.0;0.9283;894.0657;16.0041;10338.2911;7.7287;0.2322;187.4621;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;3;0.0;0.0;0.0;0.0
3;15.3646;56.7559;0.0;0.0;0.0;94.3065;0.0;237.9704;553.9072;0.0;0.0582;779.4988;16.9282;11630.1022;7.2774;0.2421;178.6578;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;4;0.0;0.0;0.0;0.0
4;15.1622;62.4809;0.0;0.0;0.0;93.2127;0.0;377.286;563.9102;0.0;0.2246;861.0462;16.2118;10202.887;7.7738;0.3063;164.9351;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;5;0.0;0.0;0.0;0.0
5;16.1535;48.2764;0.0;0.0;0.0;95.8902;0.0;215.9711;577.5585;0.0;0.4434;876.063;16.5596;11696.9852;7.4906;0.3246;171.7584;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;6;0.0;0.0;0.0;0.0
6;15.346;40.8045;0.0;0.0;0.0;94.7658;0.0;329.4593;542.8153;0.0;0.8648;756.5198;16.3372;11040.6953;7.4465;0.4962;167.8382;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;7;0.0;0.0;0.0;0.0
7;16.5434;72.2696;0.0;0.0;0.0;93.8661;0.0;381.3141;529.2279;0.0;0.1418;817.6616;16.6647;10050.7633;7.9351;0.4597;160.7902;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;8;0.0;0.0;0.0;0.0
8;15.9653;46.797;0.0;0.0;0.0;95.3033;0.0;221.2821;558.8171;0.0;0.8612;714.498;15.8211;10196.2499;7.3144;0.4685;178.3295;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;9;0.0;0.0;0.0;0.0
9;15.319;68.5066;0.0;0.0;0.0;93.0066;0.0;293.2077;554.2135;0.0;0.8278;858.7335;15.2995;11164.9525;7.2789;0.286;196.4945;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;10;0.0;0.0;0.0;0.0
10;16.8637;49.3399;0.0;0.0;0.0;93.1669;0.0;358.8199;570.4025;0.0;0.9762;729.8472;16.2594;10588.3926;7.4411;0.2282;169.6831;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;11;0.0;0.0;0.0;0.0
11;15.5526;72.8956;0.0;0.0;0.0;93.7434;0.0;319.0284;582.6304;0.0;0.4134;792.0168;15.1744;10299.782;7.235;0.3255;198.9673;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;12;0.0;0.0;0.0;0.0
12;15.3359;74.1971;0.0;0.0;0.0;95.6561;0.0;271.7311;532.2319;0.0;0.582;759.4336;16.2824;11666.1307;7.4828;0.3726;195.0349;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;13;0.0;0.0;0.0;0.0
13;15.8454;51.4786;0.0;0.0;0.0;93.9196;0.0;276.7509;590.2966;0.0;0.8172;764.2108;15.3025;11772.7406;7.9996;0.4848;161.6154;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;14;0.0;0.0;0.0;0.0
14;15.3347;58.7117;0.0;0.0;0.0;94.1847;0.0;357.5854;520.6567;0.0;0.6328;739.342;15.1066;11989.6796;7.3843;0.3022;186.8761;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;15;0.0;0.0;0.0;0.0
15;16.4043;74.1495;0.0;0.0;0.0;94.905;0.0;364.5753;539.7592;0.0;0.2954;871.5748;15.9199;10350.0315;7.0795;0.427;194.2638;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;16;0.0;0.0;0.0;0.0
16;16.9819;63.9664;0.0;0.0;0.0;95.9049;0.0;287.0485;501.3997;0.0;0.6107;894.7985;16.3756;10727.1958;7.2815;0.2203;173.9757;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;17;0.0;0.0;0.0;0.0
17;15.0263;58.2872;0.0;0.0;0.0;93.7347;0.0;338.7014;551.6508;0.0;0.3845;749.9893;15.9954;11584.8623;7.77;0.4716;178.8787;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;18;0.0;0.0;0.0;0.0
18;15.8551;69.3103;0.0;0.0;0.0;95.7513;0.0;261.7705;503.3405;0.0;0.1876;754.2596;15.3284;10082.709;7.2116;0.2289;187.5989;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;19;0.0;0.0;0.0;0.0
19;16.5488;41.2009;0.0;0.0;0.0;95.2174;0.0;374.3393;539.6033;0.0;0.8056;886.503;15.5198;11374.1985;7.7595;0.47;196.1448;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;20;0.0;0.0;0.0;0.0
20;15.3618;57.0455;0.0;0.0;0.0;94.2513;0.0;234.4354;597.917;0.0;0.6241;825.688;15.2584;11301.6367;7.3416;0.3614;175.0608;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;21;0.0;0.0;0.0;0.0
21;16.6767;47.1572;0.0;0.0;0.0;93.6005;0.0;253.4822;533.2536;0.0;0.6216;753.2807;16.6425;10288.5749;7.4226;0.4485;181.2433;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;22;0.0;0.0;0.0;0.0
22;16.9833;43.1319;0.0;0.0;0.0;93.5254;0.0;344.5372;555.8231;0.0;0.7273;890.873;15.3694;10366.4607;7.9847;0.3346;182.3806;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;23;0.0;0.0;0.0;0.0
23;16.212;43.4712;0.0;0.0;0.0;95.8459;0.0;224.8133;504.9137;0.0;0.8185;838.4396;15.5585;10139.0841;7.0258;0.2331;194.5488;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;24;0.0;0.0;0.0;0.0
24;15.8518;65.0689;0.0;0.0;0.0;94.3119;0.0;279.8259;556.0662;0.0;0.4295;712.2287;15.7789;10454.1826;7.3298;0.251;173.7922;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;25;0.0;0.0;0.0;0.0
25;15.2666;50.7472;0.0;0.0;0.0;95.2752;0.0;211.6009;562.1418;0.0;0.9563;724.1483;16.1209;11446.2508;7.555;0.3903;192.7951;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;26;0.0;0.0;0.0;0.0
26;16.9854;40.4782;0.0;0.0;0.0;93.9616;0.0;385.7874;507.8521;0.0;0.0065;870.7338;16.0442;10690.6228;7.1123;0.3144;167.8933;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;27;0.0;0.0;0.0;0.0
