TCO (€/km);LCE (gGHG/km)
0.3193;107.8637
0.4008;133.8797
0.3275;148.2548
0.2863;105.2160
0.3405;154.7697
0.2965;102.3063
0.3321;107.9881
0.3797;166.0490
0.3671;102.1530
0.3444;145.5415
0.3097;129.7747
0.3857;157.7903
0.3381;127.0656
0.3364;113.5529
0.3158;128.5249
0.3935;171.9946
0.3195;142.3314
0.3371;124.0540
0.3640;139.0562
0.3427;128.8040
0.3343;119.1274
0.3548;108.9341
0.3442;136.4485
0.3316;108.2417
0.3389;129.0632
0.3228;95.1425
0.3183;132.7902
0.3637;147.5249
0.3319;112.9629
0.3649;118.6753
0.3086;127.4875
0.3034;147.1975
0.3178;129.0811
0.3588;139.9358
0.3674;148.8874
0.3188;101.7516
0.2996;116.3415
0.3595;158.2171
0.3185;104.1526
0.3228;132.3225
0.3810;155.4901
0.3083;119.9007
0.3505;126.9408
0.3095;106.0265
0.3470;121.7991
0.3428;134.4370
0.2906;103.5215
0.3490;140.7492
0.3667;139.5559
0.3554;125.7851
0.3366;117.7242
0.3494;133.4657
0.3300;118.4473
0.3537;154.7690
0.3013;130.0377
0.3598;134.6488
0.3522;117.8599
0.3362;114.0767
0.3096;142.6448
0.3404;166.5598
0.2897;110.0868
0.3200;131.6832
0.3411;163.4779
0.3552;130.6490
0.3477;158.1662
0.3620;140.6837
0.3115;103.7173
0.3794;135.6652
0.3746;151.4619
0.3513;112.2695
0.3803;136.8921
0.2995;106.7788
0.3404;136.3835
0.3803;159.7095
0.2965;130.1294
0.3714;122.3777
0.3558;131.8142
0.3520;138.3782
0.3022;112.7143
0.3088;128.0598
0.3328;149.9988
0.3454;138.8215
0.3631;133.2506
0.3600;151.1173
0.3450;142.2888
0.3430;153.8070
0.3292;111.5477
0.3564;160.0821
0.3210;140.6105
0.3214;125.9272
0.2926;121.0295
0.3561;136.3860
0.3055;105.1480
0.3078;108.9220
0.3362;113.2523
0.3443;107.6324
0.2636;97.2610
0.3000;129.0173
0.3043;106.1823
0.3653;137.0938
0.3395;105.2059
0.3539;143.4701
0.3523;130.0909
0.3391;138.4442
0.3169;115.7377
0.2858;112.1303
0.2820;132.4448
0.3179;147.1878
0.3391;172.2321
0.3149;99.2993
0.3483;153.9454
0.3480;159.2287
0.2973;122.0023
0.3696;155.6499
0.3912;138.0818
0.3419;118.0247
0.2916;117.5153
0.3043;140.3007
0.3256;125.4903
0.3538;130.9907
0.3166;139.6441
0.3362;136.6106
0.3251;109.7152
0.3461;133.6368
0.3230;132.9585
0.3189;101.0993
0.3655;118.0424
0.4059;154.0783
0.3420;141.0642
0.3505;144.5941
0.3476;126.3859
0.3999;148.5357
0.3417;127.0290
0.3341;118.7954
0.3647;163.9830
0.3620;136.7326
0.3392;96.3587
0.2877;137.8647
0.3079;121.4798
0.3139;118.2674
0.3643;135.5979
0.3387;155.0992
0.3453;139.1086
0.2802;109.4402
0.3341;124.0484
0.3520;146.2383
0.2882;133.9977
0.3679;131.4300
0.3259;137.9413
0.3127;126.7544
0.3389;120.4506
0.3034;132.6533
0.3285;119.9896
0.3594;133.1307
0.3443;109.9633
0.3540;159.5170
0.3223;146.2171
0.2854;120.1995
0.3143;139.3792
0.3178;117.0578
0.3283;132.1208
0.3345;117.2300
0.3613;136.9408
0.3433;148.1094
0.3385;130.8431
0.3163;126.4573
0.3315;134.8301
0.3118;110.2578
0.2861;131.9012
0.3488;104.8160
0.3488;141.2892
0.3569;158.3591
0.3346;128.7784
0.3322;137.1782
0.3679;130.8012
0.3424;147.8854
0.3321;143.5906
0.3273;126.9431
0.3274;141.2900
0.3486;119.6402
0.3122;111.0541
0.3891;146.3618
0.3782;150.4697
0.3271;117.8563
0.3479;138.2430
0.3573;119.1399
0.3138;101.0736
0.3068;128.2479
0.3472;139.2390
0.3466;135.4257
0.3496;167.7214
0.3469;137.4466
0.3157;140.1297
0.3373;133.8910
0.3700;130.2809
0.3604;146.8389
0.3208;136.4383
0.3211;149.0481
0.3699;179.7518
0.3843;136.8972
0.5864;101.0350
0.6729;131.5398
0.5977;193.1328
0.5069;109.7233
0.6049;164.9955
0.5513;117.6166
0.5955;146.9061
0.6526;220.0826
0.6642;119.0699
0.5871;135.3056
0.5938;221.6025
0.6357;155.2184
0.5528;121.4262
0.6121;142.6821
0.5614;158.6926
0.6526;203.5023
0.5838;177.5434
0.5810;140.9680
0.6315;134.3605
0.6248;212.2739
0.5863;111.3205
0.6575;154.2695
0.6511;218.1843
0.6321;125.2813
0.6035;144.3371
0.5587;96.7213
0.6098;238.5222
0.5892;133.1139
0.5831;155.6881
0.6197;117.0853
0.5535;121.2796
0.5580;226.4578
0.5401;138.0616
0.6227;209.4200
0.6175;172.9159
0.6275;134.5554
0.5399;117.8573
0.6313;181.8489
0.5702;131.2399
0.6219;183.5169
0.6618;184.2983
0.5503;141.0580
0.5790;147.8874
0.5758;179.0040
0.5926;180.9479
0.5840;160.1995
0.5614;150.6565
0.5837;155.0890
0.6219;162.5138
0.6626;178.0114
0.5613;96.6381
0.5880;113.7160
0.5996;148.8332
0.5952;188.0824
0.5065;151.5467
0.5943;130.8009
0.5778;113.3917
0.5867;103.0986
0.5613;208.8791
0.5976;165.4327
0.5642;168.4163
0.5571;177.2387
0.5789;188.1472
0.5900;103.5388
0.5747;192.5114
0.6087;190.2540
0.5930;134.4111
0.6164;137.1387
0.6307;161.9697
0.6468;108.9484
0.6669;202.4369
0.5630;116.4565
0.5807;145.1547
0.6459;173.0708
0.5432;201.5399
0.6566;162.9610
0.6470;190.4264
0.6082;145.9716
0.5364;107.3298
0.5524;133.1890
0.5973;241.6151
0.6093;131.6997
0.6017;109.3464
0.6041;180.8798
0.5554;126.5678
0.6116;155.8455
0.5899;149.9504
0.5870;169.2873
0.5755;187.4837
0.5692;141.3949
0.5853;211.1310
0.6046;156.8550
0.5539;122.3688
0.5446;143.8413
0.6137;123.2891
0.5969;127.5298
0.4958;120.0631
0.5423;145.5725
0.5467;141.8321
0.6402;133.2095
0.6207;157.2805
0.6245;165.5286
0.6232;169.3956
0.5965;208.1466
0.5882;165.7036
0.5200;144.1669
0.5004;200.1555
0.5375;181.7503
0.5884;215.6722
0.5681;103.5916
0.5853;151.1868
0.6106;238.7535
0.5470;128.3619
0.6213;163.2645
0.6523;149.0434
0.5932;145.0920
0.5636;188.4353
0.5550;198.9911
0.6045;159.3415
0.5954;132.9321
0.5751;195.4186
0.5910;201.8652
0.5921;166.6091
0.6035;138.4504
0.5246;126.8925
0.5709;124.4963
0.6234;126.1811
0.6718;158.1588
0.5984;172.3405
0.5754;114.6828
0.6327;205.6329
0.6750;116.0756
0.5998;145.1807
0.5872;141.7148
0.6073;175.5251
0.5886;126.5119
0.6452;112.1891
0.5236;186.1445
0.5372;137.4141
0.5623;165.1996
0.6334;120.8581
0.5893;204.6641
0.5731;158.7933
0.5393;152.8032
0.5482;135.5016
0.6390;185.9754
0.5069;156.0676
0.6337;178.9343
0.5715;188.9513
0.5479;95.2035
0.5658;137.3608
0.5126;160.3173
0.6037;174.5044
0.6141;158.2253
0.5813;123.3484
0.5579;160.4493
