;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;fe_phev_cd;fe_phev_cs;c_phev_el;c_phev_synth;E_batt;E_battEmptyPHEV;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;Em_elBatt;cd_phev;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number
0;0.3193;107.8637;35497.0886;0.1068;35.7338;12046692.4815;15.1794;0.0;0.0;0.0;0.0;53.2824;0.0;0.0;0.0;94.2824;0.0;221.9502;528.5677;757.0541;0.6564;15.0345;11108.7103;7.9398;0.2863;161.3495;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;1
1;0.4008;133.8797;39650.3342;0.1428;44.3302;13760590.5889;15.4857;0.0;0.0;0.0;0.0;66.9473;0.0;0.0;0.0;95.5589;0.0;273.5522;563.7795;705.4777;0.5357;15.2347;10086.4888;7.9115;0.4535;190.4533;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;2
2;0.3275;148.2548;36950.6868;0.1042;63.3305;14051146.2814;15.9807;0.0;0.0;0.0;0.0;53.6145;0.0;0.0;0.0;94.2191;0.0;373.3844;557.8691;894.0657;0.9283;16.0041;10338.2911;7.7287;0.2322;187.4621;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;3
3;0.2863;105.216;37039.8842;0.0982;38.7706;13081551.9703;15.3646;0.0;0.0;0.0;0.0;56.7559;0.0;0.0;0.0;94.3065;0.0;237.9704;553.9072;779.4988;0.0582;16.9282;11630.1022;7.2774;0.2421;178.6578;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;4
4;0.3405;154.7697;37205.2935;0.1156;61.3702;15448937.9282;15.1622;0.0;0.0;0.0;0.0;62.4809;0.0;0.0;0.0;93.2127;0.0;377.286;563.9102;861.0462;0.2246;16.2118;10202.887;7.7738;0.3063;164.9351;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;5
5;0.2965;102.3063;35191.8772;0.1148;36.3821;12769348.5739;16.1535;0.0;0.0;0.0;0.0;48.2764;0.0;0.0;0.0;95.8902;0.0;215.9711;577.5585;876.063;0.4434;16.5596;11696.9852;7.4906;0.3246;171.7584;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;6
6;0.3321;107.9881;33748.5538;0.145;53.3513;9855060.8616;15.346;0.0;0.0;0.0;0.0;40.8045;0.0;0.0;0.0;94.7658;0.0;329.4593;542.8153;756.5198;0.8648;16.3372;11040.6953;7.4465;0.4962;167.8382;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;7
7;0.3797;166.049;38520.2434;0.1497;67.2046;16555752.0584;16.5434;0.0;0.0;0.0;0.0;72.2696;0.0;0.0;0.0;93.8661;0.0;381.3141;529.2279;817.6616;0.1418;16.6647;10050.7633;7.9351;0.4597;160.7902;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;8
8;0.3671;102.153;35245.2856;0.1486;37.0694;10499020.9818;15.9653;0.0;0.0;0.0;0.0;46.797;0.0;0.0;0.0;95.3033;0.0;221.2821;558.8171;714.498;0.8612;15.8211;10196.2499;7.3144;0.4685;178.3295;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;9
9;0.3444;145.5415;40361.1701;0.1081;48.2939;16611656.3762;15.319;0.0;0.0;0.0;0.0;68.5066;0.0;0.0;0.0;93.0066;0.0;293.2077;554.2135;858.7335;0.8278;15.2995;11164.9525;7.2789;0.286;196.4945;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;10
10;0.3097;129.7747;35272.1472;0.1048;64.9483;11160568.6751;16.8637;0.0;0.0;0.0;0.0;49.3399;0.0;0.0;0.0;93.1669;0.0;358.8199;570.4025;729.8472;0.9762;16.2594;10588.3926;7.4411;0.2282;169.6831;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;11
11;0.3857;157.7903;41403.8407;0.1208;52.9288;16389134.5005;15.5526;0.0;0.0;0.0;0.0;72.8956;0.0;0.0;0.0;93.7434;0.0;319.0284;582.6304;792.0168;0.4134;15.1744;10299.782;7.235;0.3255;198.9673;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;12
12;0.3381;127.0656;41371.024;0.1203;43.5648;15861185.8984;15.3359;0.0;0.0;0.0;0.0;74.1971;0.0;0.0;0.0;95.6561;0.0;271.7311;532.2319;759.4336;0.582;16.2824;11666.1307;7.4828;0.3726;195.0349;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;13
13;0.3364;113.5529;35219.7345;0.1409;46.6913;12045270.1815;15.8454;0.0;0.0;0.0;0.0;51.4786;0.0;0.0;0.0;93.9196;0.0;276.7509;590.2966;764.2108;0.8172;15.3025;11772.7406;7.9996;0.4848;161.6154;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;14
14;0.3158;128.5249;37871.8135;0.1067;58.2203;12733794.0515;15.3347;0.0;0.0;0.0;0.0;58.7117;0.0;0.0;0.0;94.1847;0.0;357.5854;520.6567;739.342;0.6328;15.1066;11989.6796;7.3843;0.3022;186.8761;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;15
15;0.3935;171.9946;41304.5636;0.1428;63.0167;17956437.7982;16.4043;0.0;0.0;0.0;0.0;74.1495;0.0;0.0;0.0;94.905;0.0;364.5753;539.7592;871.5748;0.2954;15.9199;10350.0315;7.0795;0.427;194.2638;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;16
16;0.3195;142.3314;38028.5992;0.103;50.8277;16073918.2771;16.9819;0.0;0.0;0.0;0.0;63.9664;0.0;0.0;0.0;95.9049;0.0;287.0485;501.3997;894.7985;0.6107;16.3756;10727.1958;7.2815;0.2203;173.9757;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;17
17;0.3371;124.054;37326.3386;0.1357;54.2961;12926444.1183;15.0263;0.0;0.0;0.0;0.0;58.2872;0.0;0.0;0.0;93.7347;0.0;338.7014;551.6508;749.9893;0.3845;15.9954;11584.8623;7.77;0.4716;178.8787;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;18
18;0.364;139.0562;39902.536;0.1058;43.3456;14792246.014;15.8551;0.0;0.0;0.0;0.0;69.3103;0.0;0.0;0.0;95.7513;0.0;261.7705;503.3405;754.2596;0.1876;15.3284;10082.709;7.2116;0.2289;187.5989;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;19
19;0.3427;128.804;34981.3423;0.1445;65.0602;11252393.8442;16.5488;0.0;0.0;0.0;0.0;41.2009;0.0;0.0;0.0;95.2174;0.0;374.3393;539.6033;886.503;0.8056;15.5198;11374.1985;7.7595;0.47;196.1448;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;20
