;Vehicle;TCO (€/km);LCE;TCO_Capex;TCO_Opex;Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
0;BEV;0.3682;81.2948;33039.3958;0.1587;37.9889;6828986.0697;20.6305;11.9013;13249.9829;1.5054;467.0666;476.6688;450.0;0.2835;60.3508;0.0;0.0;0.0;0.0;0.0;44.2769;0.0;0.0;253.6481;0.0;152.2102;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0368;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
1;BEV;0.3938;76.8782;34311.5193;0.1703;31.4203;6979527.8288;18.727;10.9993;13958.9102;1.2861;454.9606;461.6567;450.0;0.2892;63.7814;0.0;0.0;0.0;0.0;0.0;46.2798;0.0;0.0;271.1637;0.0;173.1105;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0417;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
2;BEV;0.3364;67.4192;32356.3127;0.1674;32.9753;6594926.0895;20.2939;11.1722;17137.9445;1.4688;452.656;451.1528;450.0;0.2821;64.6286;0.0;0.0;0.0;0.0;0.0;42.979;0.0;0.0;278.5766;0.0;140.9133;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0424;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
3;BEV;0.3404;71.0166;33009.8982;0.1518;34.0376;6471223.2623;18.3139;12.4862;14015.2455;1.3055;492.9502;492.1488;450.0;0.2646;61.8297;0.0;0.0;0.0;0.0;0.0;40.2454;0.0;0.0;265.2312;0.0;166.7246;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0376;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
4;BEV;0.3397;69.7771;31737.6037;0.1638;33.947;6463159.1802;20.1163;12.85;14037.625;1.3345;488.4255;484.9438;450.0;0.2716;71.1187;0.0;0.0;0.0;0.0;0.0;40.4413;0.0;0.0;289.4313;0.0;134.4567;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.039;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
5;BEV;0.3695;78.0525;32611.3324;0.1634;33.7375;7011644.6831;19.9448;11.0876;14270.2416;1.3036;487.1045;494.203;450.0;0.2695;72.883;0.0;0.0;0.0;0.0;0.0;45.3862;0.0;0.0;287.9647;0.0;139.0584;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0387;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
6;BEV;0.3567;77.601;34035.5959;0.1678;37.9719;7140366.7988;19.3537;12.8135;14061.7427;1.3814;478.1671;486.3735;450.0;0.2876;73.3929;0.0;0.0;0.0;0.0;0.0;46.918;0.0;0.0;243.7142;0.0;164.8748;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0417;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
7;BEV;0.3457;72.647;33878.6548;0.1592;33.5051;7109594.6529;20.5809;12.3017;14765.1432;1.3691;469.5527;451.6957;450.0;0.2646;70.4483;0.0;0.0;0.0;0.0;0.0;47.8923;0.0;0.0;288.4281;0.0;158.2437;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0376;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
8;BEV;0.3093;64.4554;32082.4166;0.162;34.0361;6626764.0551;19.1375;12.3444;17647.4433;1.364;484.7312;472.3815;450.0;0.2845;71.9426;0.0;0.0;0.0;0.0;0.0;42.4909;0.0;0.0;272.5501;0.0;136.086;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0391;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
9;BEV;0.3408;73.1413;32699.0421;0.1438;35.2502;6288460.936;17.5822;11.3787;14585.2576;1.3154;470.5048;454.4569;450.0;0.265;75.2457;0.0;0.0;0.0;0.0;0.0;39.9166;0.0;0.0;234.6797;0.0;160.3103;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0352;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
10;BEV;0.3738;84.2389;33273.9193;0.1583;37.1606;7267918.234;19.7962;12.0653;12795.3175;1.3635;487.754;492.6411;450.0;0.2773;79.5311;0.0;0.0;0.0;0.0;0.0;47.9184;0.0;0.0;259.8361;0.0;145.5374;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0365;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
11;BEV;0.322;67.9451;32822.1846;0.1624;36.322;6504508.3235;17.9357;12.6436;16268.2045;1.2716;460.5446;459.6873;450.0;0.2709;56.6558;0.0;0.0;0.0;0.0;0.0;41.7924;0.0;0.0;227.4157;0.0;156.0615;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0423;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
12;BEV;0.3543;73.9674;33146.3411;0.1618;33.0952;7039142.4192;18.645;11.9203;14447.8729;1.2665;488.4604;482.9465;450.0;0.2644;74.2824;0.0;0.0;0.0;0.0;0.0;46.0685;0.0;0.0;275.1865;0.0;148.6122;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0411;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
13;BEV;0.321;64.0899;33753.1703;0.1535;31.2213;6622692.3512;17.6142;11.7029;17217.118;1.3748;476.7975;451.707;450.0;0.2783;79.095;0.0;0.0;0.0;0.0;0.0;43.2245;0.0;0.0;268.9959;0.0;172.4293;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0399;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
14;BEV;0.3281;75.3072;33662.6933;0.1671;42.2243;6917478.8928;20.8222;12.0509;17350.9739;1.4655;499.655;485.5448;450.0;0.2813;55.4132;0.0;0.0;0.0;0.0;0.0;44.7993;0.0;0.0;246.3967;0.0;164.3484;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0408;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
15;BEV;0.3262;70.1385;31905.7045;0.1574;34.2749;6780307.3989;18.9303;12.6162;14985.3723;1.3935;487.7019;486.9612;450.0;0.2644;67.2123;0.0;0.0;0.0;0.0;0.0;43.4236;0.0;0.0;269.3615;0.0;129.0935;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0415;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
16;BEV;0.3416;72.6705;32314.5356;0.1565;32.2759;7052116.2838;19.9035;12.8464;13589.856;1.4822;459.4883;485.2323;450.0;0.2864;68.256;0.0;0.0;0.0;0.0;0.0;46.1091;0.0;0.0;283.3517;0.0;130.4414;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0364;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
17;BEV;0.3997;85.637;33927.3277;0.1557;35.9209;6914092.2894;20.2659;10.8109;12863.9937;1.5079;465.4816;473.3354;450.0;0.2749;57.4714;0.0;0.0;0.0;0.0;0.0;45.2198;0.0;0.0;262.6162;0.0;168.6723;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0379;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
18;BEV;0.3572;74.168;33973.1765;0.1682;33.8841;7242947.8288;20.8621;10.8858;16516.6772;1.3065;486.6479;492.0427;450.0;0.2778;51.3486;0.0;0.0;0.0;0.0;0.0;47.6993;0.0;0.0;299.6246;0.0;160.8656;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0372;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
19;BEV;0.375;80.7022;33626.7916;0.1464;35.901;6591038.9746;17.3751;11.6779;12597.94;1.3683;475.5875;485.0408;450.0;0.2631;59.4789;0.0;0.0;0.0;0.0;0.0;41.6706;0.0;0.0;230.1715;0.0;175.8264;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0389;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
20;BEV;0.3083;62.2131;33429.6329;0.1629;33.5892;6580954.5796;19.9692;12.9162;17800.2127;1.2804;499.5844;461.1147;450.0;0.2725;75.3067;0.0;0.0;0.0;0.0;0.0;42.4728;0.0;0.0;297.009;0.0;167.8635;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.037;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
21;BEV;0.3748;81.7961;33757.3042;0.1657;38.2681;7025761.4572;19.2013;11.6513;13853.2065;1.3851;456.5671;476.6195;450.0;0.2808;54.9448;0.0;0.0;0.0;0.0;0.0;46.1732;0.0;0.0;229.0856;0.0;161.5072;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0424;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
22;BEV;0.3343;69.9654;33346.6187;0.1495;32.3604;6784724.2442;17.6789;11.794;15297.6659;1.4503;459.0966;465.9525;450.0;0.2822;78.7411;0.0;0.0;0.0;0.0;0.0;44.2497;0.0;0.0;250.8106;0.0;159.2467;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0386;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
23;BEV;0.3352;79.3289;32648.2129;0.1568;40.3501;7131502.4336;20.7441;12.6896;14417.9724;1.5096;494.0452;484.7691;450.0;0.2726;68.383;0.0;0.0;0.0;0.0;0.0;46.8916;0.0;0.0;253.99;0.0;135.3806;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0377;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
24;BEV;0.3088;73.9575;33394.1872;0.1515;40.7664;7046181.022;19.3439;12.641;16793.8912;1.3969;495.8851;456.5748;450.0;0.2634;65.87;0.0;0.0;0.0;0.0;0.0;47.106;0.0;0.0;235.3003;0.0;150.6005;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0373;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
25;BEV;0.3418;65.0537;32347.804;0.1685;31.0623;6345025.1429;19.7222;11.4442;16310.9341;1.3461;450.0197;474.6016;450.0;0.2759;70.3217;0.0;0.0;0.0;0.0;0.0;39.6961;0.0;0.0;285.7287;0.0;152.3526;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0423;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
26;BEV;0.3234;60.3758;33446.1828;0.1648;29.7864;6451373.577;19.3695;12.9947;16229.8783;1.3033;456.8813;473.8723;450.0;0.2661;70.8239;0.0;0.0;0.0;0.0;0.0;40.7472;0.0;0.0;297.101;0.0;175.3785;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0418;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
27;BEV;0.3405;65.6163;33948.1818;0.1636;30.08;6820409.6371;19.0124;11.0915;17304.0892;1.3072;462.4449;457.9875;450.0;0.2736;73.6675;0.0;0.0;0.0;0.0;0.0;44.8877;0.0;0.0;292.293;0.0;170.3848;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0407;1499.0;36900.0;0.0;44.0;0.0;0.0;1.0;1.0;1.0;4000.0
