;Vehicle;TCO (€/km);LCE;TCO_Capex;TCO_Opex;Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
500;FCEV;0.3686;88.4058;27907.1191;0.2049;80.5443;1340475.4721;0.922;12.5345;13603.4706;0.8142;149.2121;154.1155;192.6304;5.3925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.9326;114.145;56.878;0.0;66.795;51.8078;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0423;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
501;FCEV;0.2895;68.1082;27284.7225;0.1464;60.9892;1357739.2898;0.8379;12.4593;15307.4403;0.91;131.1105;158.2321;120.1223;3.2273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.8935;118.6241;59.982;0.0;64.1251;45.0371;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0428;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
502;FCEV;0.3668;73.7424;25290.9652;0.1988;64.6048;1375914.4926;0.8386;11.8224;12736.6933;0.9993;133.554;157.1648;199.8996;6.6264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.5614;115.8723;57.7286;0.0;67.717;28.4437;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0438;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
503;FCEV;0.3427;83.3362;25384.1189;0.1979;76.7825;1148734.6812;0.8484;11.1424;15731.0488;0.9575;168.4052;131.5975;156.4954;6.3437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.3301;116.8948;61.9638;0.0;59.0631;29.3469;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0431;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
504;FCEV;0.3248;65.9364;25989.2764;0.1791;60.7348;927672.4455;0.8092;12.2948;14505.4804;1.026;138.9545;98.6844;150.1501;5.9163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.4562;136.6875;61.6503;0.0;67.4285;29.5645;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0428;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
505;FCEV;0.3501;86.5261;26366.8324;0.2056;80.9456;1018203.7296;0.8997;11.8701;15371.2425;0.8653;166.3242;110.0439;132.9428;5.7613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.4916;135.2842;61.5608;0.0;66.7232;32.633;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0436;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
506;FCEV;0.3754;76.9631;27870.1797;0.1972;67.0093;1556890.2902;0.9252;11.0701;14129.2115;1.0956;133.2138;177.1698;172.4615;6.0514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.2765;122.5449;61.2483;0.0;63.0668;48.1991;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0471;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
507;FCEV;0.3173;64.8564;27539.8753;0.1757;56.0778;1707241.6536;0.7708;12.2197;15915.1972;1.0062;134.0112;186.6143;196.0293;5.7031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.1282;132.2616;61.3389;0.0;68.5131;41.7488;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0442;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
508;FCEV;0.3599;68.9999;26897.1395;0.1988;62.7196;1048863.1247;0.7769;11.334;14735.1349;0.9728;144.5303;113.5407;190.5158;6.6824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.2179;126.3261;59.6163;0.0;63.6817;38.962;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0462;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
509;FCEV;0.3388;46.4663;27967.3682;0.1761;36.7924;1662640.8221;0.8135;10.8439;15849.4473;0.9463;82.1954;188.0666;172.8961;4.9661;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.4468;124.9388;60.5189;0.0;68.9922;47.8634;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0453;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
510;FCEV;0.2874;44.6566;26842.755;0.1253;36.564;1340344.9006;0.8219;11.9609;13847.1993;1.1554;83.2565;150.9521;188.1335;2.9786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.6561;121.7475;62.3201;0.0;69.3314;39.9597;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0427;1657.0;43600.0;40.0;0.0;114.0;154.0;25.0;33.3;1.0;4000.0
