;Vehicle;TCO (€/km);LCE;TCO_Capex;TCO_Opex;Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
150;ICEV;0.5875;929.0153;24302.0;0.4362;914.3598;2353564.5167;7.0613;9.5062;16893.4214;1.7633;495.2726;575.442;750.576;3.282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.368;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;787.4319;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
151;ICEV;0.6295;987.069;24302.0;0.4582;970.4862;2352295.5659;7.192;9.9676;14231.2593;1.884;496.2081;575.1311;785.5247;3.4091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.6562;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;770.328;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
152;ICEV;0.5801;866.8788;24302.0;0.4358;852.6374;2397772.0846;6.5124;9.7382;17289.349;1.5471;493.1355;586.2731;732.7633;3.3663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.6919;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;785.8335;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
153;ICEV;0.6225;893.0501;24302.0;0.4231;873.4073;2393566.4658;6.8954;9.0481;13467.3918;1.8743;459.4835;585.2427;726.2795;3.1563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.0795;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;784.9079;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
154;ICEV;0.5368;820.8399;24302.0;0.3872;806.3303;2356615.876;6.3339;9.2365;17584.3291;1.843;477.1263;576.1896;728.3116;3.2645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.476;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;777.0109;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
155;ICEV;0.594;884.7985;24302.0;0.4368;869.5468;2358027.6807;6.8142;9.5706;16154.4357;1.5503;486.1207;576.5355;787.5521;3.1787;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.19;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;789.4289;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
156;ICEV;0.5882;785.0046;24302.0;0.4127;767.8059;2381553.6772;6.4776;9.6501;14349.3883;1.7998;457.3759;582.2995;782.1001;3.2485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.7604;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;787.8396;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
157;ICEV;0.6287;900.6085;24302.0;0.4567;883.4967;2417095.3194;7.2205;9.601;14712.3936;1.7618;465.3184;591.0074;751.1667;3.3015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.1134;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;779.7989;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
158;ICEV;0.5597;816.4039;24302.0;0.4166;801.6432;2505974.1181;6.4387;9.6241;17640.4517;1.6555;478.3107;612.7832;768.5179;3.3508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.5641;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;776.8632;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
159;ICEV;0.575;926.8453;24302.0;0.4221;910.8502;2542739.406;7.0936;9.668;16442.918;1.796;455.7585;621.7909;747.9043;3.1621;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.173;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;770.0256;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
160;ICEV;0.6322;866.0088;24302.0;0.4418;847.1494;2407068.2001;6.613;9.1263;13985.1353;1.5717;480.8514;588.5507;763.421;3.2423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.5419;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;779.1825;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
161;ICEV;0.5898;827.022;24302.0;0.4359;811.6476;2427945.6853;6.5194;9.271;17033.9738;1.6219;463.4358;593.6658;757.5638;3.4431;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.1805;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;770.2143;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
162;ICEV;0.5816;783.8344;24302.0;0.4006;764.993;2529820.1074;6.1626;9.0541;14829.608;1.8062;455.733;618.6256;753.1721;3.3204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.5868;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;788.5663;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
