;Vehicle;TCO (€/km);LCE;TCO_Capex;TCO_Opex;Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
1000;PHEV;0.4419;460.438;27531.1572;0.3205;439.7477;4691941.9571;13.3241;12.8845;17600.1761;1.3353;464.3135;584.0082;760.1768;1.4838;0.5938;17.6133;7.0533;0.2861;3.2347;8.8411;0.0;0.0;0.0;67.532;0.0;167.9833;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.0423;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
1001;PHEV;0.4237;292.3061;27254.0858;0.2586;264.4133;4602382.1514;15.5864;12.5726;13123.9709;1.3563;459.2593;602.523;758.1239;0.9031;0.7927;17.8351;6.9852;0.289;3.2518;7.8167;0.0;0.0;0.0;78.0769;0.0;154.5519;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.0477;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
1002;PHEV;0.5079;526.2408;27536.6589;0.3316;494.4309;4969736.079;13.4922;11.7197;13330.7469;1.4754;484.7291;604.6095;770.8997;1.6568;0.5201;19.6042;6.867;0.2615;3.1692;9.6675;0.0;0.0;0.0;63.6619;0.0;154.1928;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.0469;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
1003;PHEV;0.4168;361.3615;27423.5841;0.2761;338.1416;4527777.6426;17.8287;12.5941;15483.079;1.4157;492.3003;586.4778;730.5391;0.9633;0.7731;20.9349;7.2479;0.2658;3.339;8.184;0.0;0.0;0.0;74.1109;0.0;168.3265;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.0492;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
1004;PHEV;0.4773;391.803;27302.6837;0.2911;359.4519;4743237.4649;14.4387;11.2206;13066.7914;1.4005;474.5959;603.2791;724.4017;1.1941;0.6847;17.7606;7.2236;0.2852;3.1682;9.0272;0.0;0.0;0.0;72.1996;0.0;139.2108;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.047;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
1005;PHEV;0.4458;425.2608;27493.5861;0.3254;404.4758;4744482.0104;13.9814;13.0772;17455.1463;1.2705;458.3013;590.0719;748.6366;1.5294;0.5669;19.8219;6.3364;0.2677;3.181;9.1104;0.0;0.0;0.0;65.2237;0.0;158.8938;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.0471;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
1006;PHEV;0.4881;457.9426;27716.4517;0.3282;429.1742;4987465.1294;12.327;11.7454;14760.3677;1.2657;495.1983;598.0871;798.6404;1.6419;0.5465;17.4113;6.199;0.2684;3.2974;9.5823;0.0;0.0;0.0;68.5857;0.0;174.3268;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.0474;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
1007;PHEV;0.4623;405.8849;27397.6636;0.2697;373.7764;4567963.3103;16.1105;10.9079;13042.5136;1.5204;478.0324;591.2798;752.4054;1.2016;0.6833;20.5534;6.5257;0.2697;3.212;8.0162;0.0;0.0;0.0;68.6641;0.0;168.6165;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.0428;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
1008;PHEV;0.4423;363.5306;27488.7821;0.2866;336.3867;4792885.6433;14.5746;11.7036;15087.0421;1.3141;481.7182;616.3496;756.6284;1.1059;0.7195;17.5124;7.0371;0.2871;3.2067;8.5122;0.0;0.0;0.0;75.4405;0.0;169.4958;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.0484;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
1009;PHEV;0.4324;377.7338;27492.2095;0.2727;350.0176;4772405.2364;14.9779;12.3531;13938.9004;1.4546;471.196;596.1695;799.6238;1.1009;0.7208;18.0131;7.1408;0.2897;3.1956;8.4695;0.0;0.0;0.0;70.9997;0.0;170.755;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;250.0;0.0;0.0;0.0;0.0451;1795.0;30366.0;0.0;8.8;0.0;0.0;1.0;1.0;11.6;3000.0
