;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
0;0.4923;108.9303;28833.4942;0.1965;88.1905;2021833.8437;16.7781;47.2938;0.0;0.0;95.3149;0.0;501.0027;574.3182;0.0;58.1945;898.7829;11.9145;8182.1195;1.9541;0.359;113.5137;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
1;0.4867;89.8372;29124.2904;0.1632;68.1597;1951334.6432;15.9103;47.65;0.0;0.0;94.0437;0.0;402.8832;554.6569;0.0;68.712;864.6122;10.9785;8199.3733;2.8427;0.3218;118.7679;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
2;0.3755;110.1155;27244.2759;0.1469;94.1236;1906041.8886;16.3736;32.7214;0.0;0.0;93.855;0.0;539.5251;552.1949;0.0;59.0451;868.7354;11.6765;10207.5126;2.2085;0.2761;115.4986;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
3;0.3603;86.9935;28629.4274;0.1528;72.5742;1989522.9289;15.0704;43.5941;0.0;0.0;93.6749;0.0;451.1082;574.4328;0.0;50.0269;864.6668;11.8482;11645.3467;2.1691;0.3691;118.4662;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
4;0.3843;91.7831;26771.9639;0.16;75.1958;1979400.809;15.4126;31.0894;0.0;0.0;93.789;0.0;457.5827;579.2568;0.0;54.5503;878.5631;10.8457;11002.7596;2.1775;0.3753;106.3695;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
5;0.3893;82.113;28635.0013;0.1794;67.8585;1944737.776;15.9192;43.8356;0.0;0.0;94.4513;0.0;402.6161;554.7988;0.0;61.6452;869.9307;11.6265;11734.4421;1.7567;0.4126;117.9407;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
6;0.3985;94.3299;28495.0094;0.1664;78.0946;1992861.6788;15.9868;43.9838;0.0;0.0;94.065;0.0;459.5023;566.6042;0.0;58.5903;898.2841;11.4861;10686.7052;2.1022;0.3716;114.3605;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
7;0.4082;103.7282;27274.3056;0.1564;85.5129;1973310.1151;16.3675;32.1353;0.0;0.0;94.6334;0.0;494.4174;578.5612;0.0;56.8839;864.206;11.1021;9757.8662;2.6976;0.3398;118.5396;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
8;0.4427;106.704;28913.2904;0.1535;86.6159;2007999.2887;15.3559;46.5675;0.0;0.0;95.1376;0.0;536.6297;570.1037;0.0;55.28;896.618;11.1223;8987.3268;2.1806;0.2723;116.9977;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
9;0.3707;99.6501;27843.9709;0.132;82.4328;2007957.2704;15.2448;42.72;0.0;0.0;95.6388;0.0;517.1454;580.513;0.0;61.5336;873.0333;10.8851;10714.1489;2.7412;0.2854;102.504;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
10;0.4373;109.6912;26819.8271;0.1942;91.261;2032916.9631;15.9359;32.2542;0.0;0.0;93.923;0.0;537.874;599.1629;0.0;52.0124;872.272;10.4939;10511.2332;1.8844;0.4554;104.0121;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
11;0.3544;86.9401;27064.4509;0.1197;70.284;1920591.1179;15.6861;30.1482;0.0;0.0;95.6526;0.0;428.5862;555.5655;0.0;63.6087;897.0857;11.2877;10215.4393;2.7805;0.2052;119.3919;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
12;0.4772;96.3605;28006.5574;0.2046;76.2931;2061596.518;16.502;39.8312;0.0;0.0;95.9272;0.0;443.4969;599.5689;0.0;65.7545;893.0972;11.4215;8994.7794;2.0275;0.4457;114.0201;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
13;0.4214;89.2836;26926.8939;0.1813;72.1725;1919268.4776;15.8812;32.5825;0.0;0.0;95.0194;0.0;431.8181;555.7163;0.0;65.5427;877.3702;10.6007;10580.9253;1.9115;0.4096;106.2501;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
14;0.4567;110.3543;27610.2366;0.1795;90.0091;2026172.6817;16.109;34.7669;0.0;0.0;93.6187;0.0;523.095;591.5162;0.0;57.8966;888.6318;10.4651;9516.3766;2.7942;0.4484;119.2294;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
15;0.33;94.8915;28527.1556;0.1193;80.7193;1919158.3997;16.898;43.1712;0.0;0.0;94.2407;0.0;450.1741;550.2151;0.0;50.7977;850.6738;11.7883;11487.3775;2.8712;0.2296;117.2577;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
16;0.44;107.1201;27339.12;0.2054;89.7509;2023966.2579;16.2034;37.6392;0.0;0.0;94.6232;0.0;524.1194;585.9878;0.0;52.8914;898.0198;10.5957;10997.4879;1.6959;0.4774;102.9278;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
