;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
100;0.8907;223.043;75767.76;0.2394;196.8185;3050933.8828;1.1064;0.0;48.0379;67.4163;93.7901;0.0;501.0331;596.9575;0.0;0.0;891.4603;11.1285;10454.1422;1.7491;8.8308;169.948;35.3802;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
101;0.9634;182.1398;76725.2857;0.253;156.7935;2737332.068;1.0512;0.0;45.685;62.9765;93.6545;0.0;419.4954;583.5483;0.0;0.0;878.4605;10.7967;10002.8011;1.524;9.1045;185.1994;52.8904;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
102;1.0783;261.034;75893.6153;0.2686;230.5562;2856623.0816;1.4213;0.0;43.4222;69.0124;93.5671;0.0;455.7954;567.6545;0.0;0.0;883.3303;11.3775;8238.0115;2.9125;9.1914;197.418;36.1489;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
103;0.9586;294.9556;77317.8924;0.3088;268.5823;3138164.2355;1.4433;0.0;38.2625;76.441;94.0811;0.0;525.7495;567.3891;0.0;0.0;864.0222;10.8044;11013.1113;1.6023;9.5887;182.2403;52.1052;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
104;0.8686;241.2073;76026.0537;0.2396;215.7324;3079270.3598;1.1137;0.0;45.7373;68.141;94.5322;0.0;549.8986;550.2715;0.0;0.0;892.5906;11.9735;10095.1774;1.7457;8.5959;165.9594;39.1311;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
105;0.984;238.1787;76058.8157;0.2583;211.1509;2832612.4982;1.472;0.0;34.4694;75.2851;95.9967;0.0;413.5207;597.7699;0.0;0.0;869.973;11.2236;9337.8096;2.8722;8.8579;194.2618;36.3282;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
106;0.8478;239.7814;76122.5545;0.2317;215.3327;3020884.909;1.2336;0.0;36.3669;72.9633;95.9837;0.0;503.14;568.2213;0.0;0.0;891.0861;11.5926;10658.543;2.6377;9.2719;179.0545;38.4589;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
107;1.0773;243.8431;77165.9907;0.2593;210.2332;3170468.536;1.1699;0.0;30.8125;79.363;94.1985;0.0;508.3378;598.159;0.0;0.0;885.2341;10.3003;9158.1289;1.8035;8.9346;184.994;48.9143;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
108;0.8868;247.6544;77109.7655;0.2344;221.4855;3092828.1166;1.142;0.0;36.0256;67.5989;94.2976;0.0;549.2063;578.6212;0.0;0.0;867.818;11.4672;10306.5153;2.0516;8.9543;182.7167;56.0729;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
109;0.9735;276.255;77437.0623;0.2767;249.3456;2990528.3469;1.4785;0.0;47.008;75.0173;93.7042;0.0;474.5644;562.2811;0.0;0.0;897.4716;10.4843;10599.9577;2.424;9.614;165.0536;54.2636;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
110;1.0714;265.7366;77655.9926;0.2655;232.8143;3172519.2336;1.2482;0.0;45.4281;72.6079;94.8455;0.0;531.2489;587.2147;0.0;0.0;873.5753;11.7262;8217.8427;2.3982;9.4518;172.4804;59.0373;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
111;1.209;263.0424;77699.3741;0.2962;228.9593;2901259.5347;1.5804;0.0;46.3281;79.2253;94.8613;0.0;412.7016;591.2737;0.0;0.0;886.4954;10.5315;8082.7126;2.3597;8.702;166.0601;54.7255;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
112;0.8353;200.1263;76333.4013;0.2017;175.9408;2913718.6733;1.1438;0.0;39.0851;79.1984;94.578;0.0;436.8801;573.078;0.0;0.0;894.0527;10.123;11900.9672;2.977;9.0069;181.0994;37.8072;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
