;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
300;0.5338;748.2517;24302.0;0.2845;730.4998;1730562.5694;5.6672;0.0;0.0;0.0;45.0865;0.0;501.0027;574.3182;0.0;0.0;898.7829;11.9145;8182.1195;1.9541;1.618;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
301;0.4914;488.7386;24302.0;0.2214;470.1707;1671428.0639;4.3654;0.0;0.0;0.0;43.3916;0.0;402.8832;554.6569;0.0;0.0;864.6122;10.9785;8199.3733;2.8427;1.5437;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
302;0.423;748.092;24302.0;0.2191;734.1306;1664023.2049;5.0604;0.0;0.0;0.0;43.1401;0.0;539.5251;552.1949;0.0;0.0;868.7354;11.6765;10207.5126;2.2085;1.4522;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
303;0.3495;391.3484;24302.0;0.1734;378.8035;1730907.2472;3.1055;0.0;0.0;0.0;42.8999;0.0;451.1082;574.4328;0.0;0.0;864.6668;11.8482;11645.3467;2.1691;1.6382;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
304;0.3954;460.7939;24302.0;0.1918;446.1674;1745416.1991;3.6188;0.0;0.0;0.0;43.0521;0.0;457.5827;579.2568;0.0;0.0;878.5631;10.8457;11002.7596;2.1775;1.6507;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
305;0.4022;477.7263;24302.0;0.2241;465.472;1671854.8508;4.3788;0.0;0.0;0.0;43.935;0.0;402.6161;554.7988;0.0;0.0;869.9307;11.6265;11734.4421;1.7567;1.7252;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
306;0.4157;563.8975;24302.0;0.2177;549.9881;1707361.4802;4.4802;0.0;0.0;0.0;43.42;0.0;459.5023;566.6042;0.0;0.0;898.2841;11.4861;10686.7052;2.1022;1.6431;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
307;0.4448;671.8597;24302.0;0.2205;655.7674;1743324.0708;5.0513;0.0;0.0;0.0;44.1779;0.0;494.4174;578.5612;0.0;0.0;864.206;11.1021;9757.8662;2.6976;1.5796;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
308;0.4457;507.6683;24302.0;0.2026;490.4825;1717886.7863;3.5339;0.0;0.0;0.0;44.8501;0.0;536.6297;570.1037;0.0;0.0;896.618;11.1223;8987.3268;2.1806;1.4446;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
309;0.3766;458.763;24302.0;0.1682;443.7645;1749194.4216;3.3672;0.0;0.0;0.0;45.5184;0.0;517.1454;580.513;0.0;0.0;873.0333;10.8851;10714.1489;2.7412;1.4709;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
