;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
200;0.7273;128.1648;25866.0;0.4446;104.2666;2186161.8468;18.9875;40.0745;0.0;0.0;77.2757;0.0;462.4198;562.1501;0.0;0.6845;887.0942;10.9887;8324.7513;2.7932;0.7064;104.8263;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
201;0.5743;118.3522;25866.0;0.3669;100.5534;2220399.0878;15.9845;44.3063;0.0;0.0;75.1102;0.0;535.7128;560.1482;0.0;0.6391;886.5016;11.297;11042.762;2.7342;0.8393;110.6932;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
202;0.5721;114.7987;25866.0;0.3509;95.1002;2302946.6314;15.3467;47.2596;0.0;0.0;73.1845;0.0;520.1109;584.0967;0.0;0.5604;889.3127;10.1021;11572.8461;2.8428;0.8409;107.003;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
203;0.6506;128.3197;25866.0;0.4141;107.9907;2223090.7426;17.6201;44.9173;0.0;0.0;76.4236;0.0;522.9671;572.764;0.0;0.6422;858.6236;10.891;10040.9272;2.0403;0.7791;103.1269;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
204;0.6198;104.1167;25866.0;0.4205;87.1749;2199347.2448;17.4578;45.4745;0.0;0.0;79.6278;0.0;428.8148;559.7362;0.0;0.69;858.8544;10.8614;11952.2291;1.5569;0.6623;108.9338;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
205;0.5789;96.3194;25866.0;0.3756;79.2904;2167359.9187;14.9576;33.5181;0.0;0.0;70.8597;0.0;443.3897;576.5232;0.0;0.5409;895.1616;11.4464;11119.1755;1.9594;0.8808;117.0794;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
206;0.5225;90.7606;25866.0;0.3278;73.6775;2269221.7983;14.7303;46.3871;0.0;0.0;71.3854;0.0;421.4182;582.6317;0.0;0.5354;869.4028;11.7498;11305.2529;2.7969;0.9276;114.0357;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
207;0.5369;117.5965;25866.0;0.3432;101.1775;2192582.18;16.4858;36.7536;0.0;0.0;76.0341;0.0;506.2109;573.3877;0.0;0.6285;898.5262;11.5156;11596.3821;2.8964;0.6809;100.6908;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
208;0.5908;99.0188;25866.0;0.3735;81.1579;2125990.2106;15.6816;36.0792;0.0;0.0;71.1851;0.0;430.2259;559.6156;0.0;0.5572;868.1013;10.4456;11395.2895;2.5024;0.9952;103.4346;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
209;0.6699;106.3288;25866.0;0.4329;86.3164;2183487.5212;16.1862;35.4925;0.0;0.0;73.2451;0.0;441.2334;585.2583;0.0;0.5727;868.7367;10.4298;10461.0217;1.9042;0.8701;100.4359;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
